Step,Actual_Displacement,Predicted_Displacement,Residual
228,0.741,0.8502954336480592,-0.10929543364805916
229,0.964,0.8522955522088808,0.11170444779111921
230,1.154,0.8542956701783777,0.2997043298216222
231,1.009,0.8562957875594994,0.15270421244050048
232,1.085,0.8582959043551803,0.22670409564481964
233,1.077,0.8602960205683404,0.21670397943165953
234,1.269,0.8622961362018848,0.4067038637981151
235,0.932,0.8642962512587046,0.06770374874129548
236,1.251,0.866296365741676,0.3847036342583239
237,1.19,0.8682964796536613,0.32170352034633865
238,1.063,0.8702965929975082,0.19270340700249178
239,0.974,0.8722967057760503,0.10170329422394964
240,1.022,0.874296817992107,0.147703182007893
241,0.929,0.8762969296484838,0.052703070351516224
242,1.014,0.8782970407479722,0.1357029592520278
243,1.155,0.8802971512933495,0.2747028487066505
244,0.9,0.8822972612873795,0.017702738712620514
245,1.194,0.8842973707328119,0.30970262926718806
246,0.982,0.886297479632383,0.09570252036761695
247,1.006,0.8882975879888152,0.11770241201118481
248,0.934,0.8902976958048174,0.04370230419518262
249,1.018,0.892297803083085,0.12570219691691498
250,1.266,0.8942979098263001,0.37170209017369993
251,1.226,0.8962980160371312,0.32970198396286876
252,1.452,0.8982981217182335,0.5537018782817664
253,1.302,0.9002982268722493,0.4017017731277508
254,0.922,0.902298331501807,0.019701668498192992
255,1.157,0.9042984356095228,0.2527015643904772
256,1.511,0.9062985391979991,0.6047014608020008
257,1.287,0.9082986422698258,0.3787013577301741
258,1.19,0.9102987448275796,0.2797012551724204
259,1.099,0.9122988468738245,0.18670115312617552
260,1.018,0.9142989484111115,0.10370105158888854
261,1.387,0.9162990494419792,0.47070095055802086
262,1.051,0.9182991499689532,0.1327008500310467
263,1.08,0.920299249994547,0.15970075000545303
264,1.06,0.9222993495212611,0.13770065047873892
265,1.12,0.9242994485515836,0.19570055144841647
266,1.167,0.9262995470879903,0.2407004529120097
267,1.068,0.9282996451329446,0.13970035486705545
268,1.29,0.9302997426888977,0.35970025731110233
269,1.289,0.9322998397582883,0.3567001602417116
